Unnamed: 0,DateTime,Home Team,Away Team,VERSUS,League,Home Goals RR,Away Goals RR,Home Corners RR,Away Corners RR,Home Shots RR,Away Shots RR,Home SOT RR,Away SOT RR,Home Fouls RR,Away Fouls RR,Home Corners H4H_W,Home Corners H4H_D,Home Corners H4H_L,Away Corners A4A_W,Away Corners A4A_D,Away Corners A4A_L,TE_Home H4H,TE_Awa y A4A,TE_Home H4H Baja,TE_Away A4A Baja,Bet For H4A,BET LINE,HW ODDS,DRW ODDS,AW ODDS,CNT CORNERS HW,CNT CORNERS HD,CNT CORNERS HL,CNT CORNERS AW,CNT CORNERS AD,CNT CORNERS AL,AVG H4H CORNERS GEN,AVG H4H CORNERS CONCEDED,AVG A4A CORNERS GEN,AVG A4A CORNERS CONCEDED,AVG H4H SHOTS,AVG H4H SOT,AVG H4H SHOTS OFF,AVG H4H FOULS WON,AVG A4A SHOTS,AVG A4A SOT,AVG A4A SHOTS OFF,AVG A4A FOULS WON,Home HT Goals RR,Away HT Goals RR
119,2024-11-10,Central Coast Mariners,Wellington Phoenix,Central Coast Mariners VS. Wellington Phoenix,A-League,1.395831,1.2955409,4.0147996,5.527394,14.595937,12.115979,5.125657,5.088119,11.064353,9.741553,4.0,5.0,6.0,4.5,2.0,2.0,0.125,0.5,0.125,0.5,10,12.5,2.0,3.35,3.45,8,5,3,6,7,3,4.5,4.5,3.0,8.0,13.5,6.0,8.0,13.0,20.5,6.0,14.5,7.5,0.45669973,0.4637914
120,2024-11-10,Sydney FC,Macarthur,Sydney FC VS. Macarthur,A-League,1.8196759,1.2767241,6.3420153,6.528516,14.228143,11.366355,6.503669,4.966209,10.676715,11.0200615,7.0,6.5,7.0,4.0,6.0,5.0,0.5,0.625,0.5,0.875,9,9.5,1.53,4.5,4.7,8,2,4,6,3,6,6.5,2.0,5.0,7.5,22.0,9.0,13.0,10.0,23.0,8.0,15.0,8.0,0.6894309,0.5489195
121,2024-11-10,Perth Glory FC,Melbourne City FC,Perth Glory FC VS. Melbourne City FC,A-League,1.3702786,1.4232557,5.647582,4.715438,14.131938,12.698557,5.927516,5.328531,10.6148405,10.773296,5.5,5.0,5.0,5.0,8.0,8.0,0.75,0.875,0.875,0.875,12,9.5,2.75,3.7,2.17,4,4,7,6,2,8,6.5,3.0,6.5,6.5,15.0,6.0,7.0,7.0,15.0,6.5,8.0,13.0,0.5958398,0.8057296
122,2024-11-10,Göztepe,Konyaspor,Göztepe VS. Konyaspor,Turkey Super Lig,1.6314275,1.2172703,4.6888266,3.5581,13.603977,12.406223,5.6491513,5.149322,11.287559,10.96768,6.0,4.0,8.0,4.0,4.5,3.5,0.25,0.625,0.375,0.75,8,9.5,2.05,3.1,3.35,8,5,3,5,8,8,5.5,3.0,5.0,4.5,16.0,7.0,9.0,11.0,12.0,5.0,7.0,12.0,0.74785453,0.53814906
123,2024-11-10,Almere City,Feyenoord,Almere City VS. Feyenoord,Netherlands Eredivisie,1.4957972,1.861671,4.4045677,3.669394,13.55645,11.570146,5.933555,5.8756475,11.26843,11.013055,5.0,4.5,6.0,6.0,7.5,5.0,0.625,0.625,1.0,0.75,11,10.5,10.0,5.5,1.28,4,8,8,8,6,1,5.0,7.5,7.0,4.0,11.0,4.0,6.0,11.0,9.0,4.0,4.0,9.0,0.5330392,0.84943664
124,2024-11-10,Atalanta,Udinese,Atalanta VS. Udinese,Italy Serie A,1.6244694,1.2921505,5.7447414,4.7263036,13.863189,11.278532,5.655249,4.9218974,11.341472,11.249025,5.0,5.0,6.0,4.5,3.5,3.5,0.0,0.625,0.0,0.75,7,10.5,1.38,4.9,7.5,8,2,4,6,8,8,5.0,2.0,3.5,8.0,14.0,8.0,6.0,11.0,13.0,6.0,7.0,12.0,1.1201065,0.5447811
125,2024-11-10,Cercle Brugge,RSC Anderlecht,Cercle Brugge VS. RSC Anderlecht,Belgium First Division,1.6076854,1.1642658,6.1355963,4.7128787,14.646319,11.532556,6.1890836,4.8287015,11.227011,11.214739,6.5,4.5,6.5,2.5,3.0,3.0,0.625,0.625,0.75,0.75,11,10.5,2.65,3.3,2.4,8,6,8,8,8,7,7.0,5.0,3.5,7.5,13.0,6.0,7.0,13.0,13.0,6.0,6.5,11.5,0.8059992,0.5464201
126,2024-11-10,Schalke 04,Jahn Regensburg,Schalke 04 VS. Jahn Regensburg,Germany Bundesliga 2,1.6834916,1.4971427,5.6495786,4.946401,14.482696,12.358811,5.9675293,5.2183013,10.731395,11.501477,4.5,4.0,6.0,7.0,8.5,3.5,0.25,0.25,0.25,0.5,8,10.5,1.53,4.0,5.75,8,5,7,8,4,8,4.5,4.0,3.5,5.0,13.0,7.0,6.0,12.0,11.0,6.0,5.0,12.0,0.9121125,0.5977836
127,2024-11-10,Elversberg,Hannover 96,Elversberg VS. Hannover 96,Germany Bundesliga 2,1.4399892,1.2986147,4.737913,3.5718153,14.521196,12.486651,5.980161,5.258834,11.223038,11.873896,6.0,4.0,8.0,5.0,4.5,5.0,0.625,0.75,0.75,1.0,12,10.5,2.65,3.35,2.5,8,5,7,6,8,8,6.0,6.0,6.0,6.5,11.0,5.0,6.0,12.0,12.0,6.0,5.5,12.0,0.6659948,0.5618004
128,2024-11-10,Karlsruher SC,Preußen Münster,Karlsruher SC VS. Preußen Münster,Germany Bundesliga 2,1.5930874,1.3901513,5.647582,4.7740316,14.255116,11.906946,5.9918785,4.7785206,11.580554,11.747183,6.0,7.0,7.0,6.0,4.0,6.0,0.25,0.75,0.625,0.875,10,10.5,1.61,4.25,4.6,8,6,4,8,6,8,5.5,4.5,6.5,6.0,14.0,6.0,6.5,11.0,12.0,6.0,5.0,11.0,0.7173807,0.7046486
