Unnamed: 0,DateTime,Home Team,Away Team,VERSUS,League,Home Goals RR,Away Goals RR,Home Corners RR,Away Corners RR,Home Shots RR,Away Shots RR,Home SOT RR,Away SOT RR,Home Fouls RR,Away Fouls RR,Home Corners H4H_W,Home Corners H4H_D,Home Corners H4H_L,Away Corners A4A_W,Away Corners A4A_D,Away Corners A4A_L,TE_Home H4H,TE_Awa y A4A,TE_Home H4H Baja,TE_Away A4A Baja,Bet For H4A,BET LINE,HW ODDS,DRW ODDS,AW ODDS,CNT CORNERS HW,CNT CORNERS HD,CNT CORNERS HL,CNT CORNERS AW,CNT CORNERS AD,CNT CORNERS AL,AVG H4H CORNERS GEN,AVG H4H CORNERS CONCEDED,AVG A4A CORNERS GEN,AVG A4A CORNERS CONCEDED,AVG H4H SHOTS,AVG H4H SOT,AVG H4H SHOTS OFF,AVG H4H FOULS WON,AVG A4A SHOTS,AVG A4A SOT,AVG A4A SHOTS OFF,AVG A4A FOULS WON,Home HT Goals RR,Away HT Goals RR
117,2024-10-27,Western United,Western Sydney Wanderers,Western United VS. Western Sydney Wanderers,A-League,1.6426172,1.1250958,5.8813305,5.0195055,15.816128,12.331989,5.772986,5.3638344,11.087134,9.903282,6.0,7.0,5.0,4.0,4.0,4.0,0.5,0.625,0.5,0.75,10,11.5,2.7,3.55,2.32,4,3,6,7,2,5,6.5,5.0,4.0,9.0,18.0,7.0,11.0,9.0,18.0,6.5,9.5,8.5,0.91183835,0.55665654
118,2024-10-27,Gazişehir Gaziantep,Konyaspor,Gazişehir Gaziantep VS. Konyaspor,Turkey Super Lig,1.4330049,1.246217,5.138847,3.8116949,12.310305,11.558402,5.137789,4.9896383,10.694654,11.055512,5.5,4.5,4.5,4.0,4.5,4.0,0.625,0.625,0.75,0.75,9,9.5,2.38,3.2,2.7,6,8,8,5,8,8,6.0,3.0,5.0,4.5,10.0,5.0,5.5,12.0,11.5,5.0,6.5,11.5,0.6185019,0.5287054
119,2024-10-27,Brøndby,København,Brøndby VS. København,Superligaen,1.5178771,1.4079256,5.100568,3.6280878,13.435798,12.829653,5.6770225,5.4334617,10.754259,10.529308,6.5,5.5,6.0,4.5,5.5,3.5,0.875,0.375,0.875,0.5,10,9.5,2.45,3.5,2.48,8,4,5,8,4,6,7.5,4.0,3.5,4.5,13.0,6.0,7.0,8.0,10.5,5.0,4.5,10.0,0.65121484,0.56839025
120,2024-10-27,Emmen,Telstar,Emmen VS. Telstar,Netherlands Eerste Divisie,1.6385236,1.140404,5.87038,5.0131383,13.632472,11.44796,5.6811986,4.9890347,11.284076,11.155173,4.5,8.0,6.0,4.5,5.0,5.5,0.25,0.625,0.5,0.625,10,10.5,1.83,3.65,3.55,8,5,8,4,6,8,6.5,4.5,7.0,4.0,13.0,6.5,7.0,11.0,13.0,6.0,5.0,13.0,0.6579174,0.5414223
121,2024-10-27,Utrecht,Feyenoord,Utrecht VS. Feyenoord,Netherlands Eredivisie,1.4084644,1.3352951,7.874242,3.7921703,12.74857,11.4716425,5.506742,5.084724,10.3559675,10.682435,5.0,7.0,7.0,5.5,7.5,5.0,0.5,0.625,0.5,0.625,11,10.5,4.1,3.8,1.8,8,5,4,8,6,1,6.0,4.0,6.0,4.0,13.0,6.5,6.5,10.0,9.0,4.5,4.0,9.0,0.56309247,0.55609524
122,2024-10-27,Parma,Empoli,Parma VS. Empoli,Italy Serie A,1.5685047,1.3958325,5.9267173,4.9766784,13.532548,11.950191,6.0209546,5.258631,10.410086,11.923605,4.5,7.5,5.0,3.5,5.0,4.0,0.625,0.5,0.75,0.625,10,10.5,2.1,3.4,3.5,8,8,3,6,5,8,5.5,4.0,3.5,7.5,11.0,6.0,6.0,12.0,13.0,6.0,7.0,15.0,0.75960463,0.6183397
123,2024-10-27,Hibernian,Hearts,Hibernian VS. Hearts,Scotland Premiership,1.5614831,1.3106997,5.864438,4.9753857,13.697882,11.576973,5.9901476,5.0165634,10.567085,10.818701,5.5,5.0,6.0,4.5,3.5,6.0,0.625,0.5,0.75,0.625,11,9.5,2.23,3.45,2.75,8,5,8,8,2,8,6.5,4.0,4.5,5.0,10.0,5.0,4.0,11.0,12.0,5.0,5.0,10.0,0.8082146,0.61018133
124,2024-10-27,Varberg,Degerfors,Varberg VS. Degerfors,Superettan,1.4845729,1.5885191,5.100568,4.1259527,11.920724,13.562578,5.6381183,6.2609572,8.253605,7.0801163,6.5,5.0,5.0,3.0,5.0,6.5,0.5,0.375,0.875,0.5,8,10.5,2.8,3.5,2.25,4,4,5,6,5,2,6.0,6.5,3.5,4.0,9.0,4.0,4.0,-1.0,12.0,4.0,4.0,11.0,0.47510397,0.56159085
125,2024-10-27,Club Brugge,RSC Anderlecht,Club Brugge VS. RSC Anderlecht,Belgium First Division,1.4502226,1.3261862,6.2261825,5.0195055,17.184246,10.544096,6.9748535,5.093639,10.981214,11.201772,5.0,7.5,8.0,2.5,3.0,3.0,0.5,0.625,0.625,0.75,9,9.5,1.61,3.95,4.6,8,8,2,8,8,6,6.0,2.5,3.5,6.0,14.0,8.0,7.0,11.0,13.0,6.0,6.0,11.0,0.64916015,0.5632132
126,2024-10-27,Magdeburg,Hannover 96,Magdeburg VS. Hannover 96,Germany Bundesliga 2,1.6407046,1.3106997,5.1398125,3.6280878,14.373503,11.942412,6.3485994,5.6897492,10.644256,11.524955,4.0,7.0,7.0,5.0,4.5,5.0,0.625,0.625,0.625,0.875,10,10.5,2.7,3.4,2.45,6,8,5,5,8,8,4.5,5.0,6.0,5.5,11.0,6.0,6.0,11.0,12.0,6.0,5.0,12.0,0.8731068,0.6295068
