Bet365_Names;Team (Dataset);Record ID;;;;
FC Augsburg;Augsburg;168;;;;
Arminia Bielefeld;Bielefeld;169;;;;
Bayer Leverkusen;Bayer Leverkusen;170;;;;
Mainz 05;Mainz 05;171;;;;
Borussia Mönchengladbach;Borussia M'gladbach;172;;;;
FC Schalke 04;Schalke 04;173;;;;
TSG Hoffenheim;Hoffenheim;174;;;;
SC Freiburg;Freiburg;175;;;;
Hamburger SV;Hamburger SV;176;;;;
Jahn Regensburg;Regensburg;177;;;;
Hannover 96;Hannover 96;178;;;;
SV Sandhausen;Sandhausen;179;;;;
FC Würzburger Kickers;Wurzburger Kickers;180;;;;
Greuther Fürth;Greuther FÃ¼rth;181;;;;
1. FC Heidenheim;Heidenheim;182;;;;
Holstein Kiel;Holstein Kiel;183;;;;
VfL Bochum;Bochum;184;;;;
Erzgebirge Aue;Erzgebirge Aue;185;;;;
VfL Osnabruck;OsnabrÃ¼ck;186;;;;
Eintracht Braunschweig;Eintracht Braunschweig;187;;;;
Darmstadt 98;Darmstadt 98;188;;;;
Fortuna Düsseldorf;Fortuna DÃ¼sseldorf;189;;;;
Karlsruher SC;Karlsruher SC;190;;;;
1. FC Nürnberg;NÃ¼rnberg;191;;;;
FC St. Pauli;St. Pauli;192;;;;
SC Paderborn 07;Paderborn;193;;;;
Eibar;SD Eibar;194;;;;
Granada;Granada CF;195;;;;
Cadiz;CÃ¡diz;196;;;;
Alavés;Deportivo AlavÃ©s;197;;;;
Valladolid;Real Valladolid;198;;;;
Villarreal;Villarreal;199;;;;
Valencia;Valencia CF;200;;;;
Getafe;Getafe CF;201;;;;
Celta Vigo;Celta de Vigo;202;;;;
Huesca;SD Huesca;203;;;;
Real Betis;Real Betis;204;;;;
Real Sociedad;Real Sociedad;205;;;;
Elche;Elche CF;206;;;;
Osasuna;CA Osasuna;207;;;;
Atlético Madrid;AtlÃ©tico Madrid;208;;;;
FC Barcelona;FC Barcelona;209;;;;
Real Madrid;Real Madrid;210;;;;
Athletic Bilbao;Athletic Club Bilbao;211;;;;
Sevilla;Sevilla FC;212;;;;
Levante;Levante UD;213;;;;
Ponferradina;Ponferradina;214;;;;
Leganés;LeganÃ©s;215;;;;
Sporting de Gijón;Sporting GijÃ³n;216;;;;
Espanyol;RCD Espanyol;217;;;;
Real Oviedo;Real Oviedo;218;;;;
